Date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-06-18,100.85992143689438,101.20488767692417,100.82262721258203,101.11164855957031,25576600,0.0,0.0,0.0
2024-06-20,100.54292503666231,100.79465927486238,100.48698725623831,100.77600860595703,21206300,0.0,0.0,0.0
2024-06-21,100.86926397988641,101.01843378943873,100.56159191167912,100.80400085449219,21091200,0.0,0.0,0.0
2024-06-24,100.90654754638672,101.0836862319377,100.85060264971328,100.90654754638672,18597600,0.0,0.0,0.0
2024-06-25,100.83193033224393,100.96245653200741,100.71072235164613,100.86922454833984,16251600,0.0,0.0,0.0
2024-06-26,100.22592083992545,100.41238482413705,100.12336351466554,100.31915283203125,26381300,0.0,0.0,0.0
2024-06-27,100.6268439223424,100.67346348382344,100.48699235104573,100.51496124267578,19939400,0.0,0.0,0.0
2024-06-28,100.76669844934256,100.794667341793,99.84368231959827,99.87165832519531,27395800,0.0,0.0,0.0
2024-07-01,99.49363820566822,99.83046133632105,99.22231520316507,99.27845001220703,22429100,0.376,0.0,0.0
2024-07-02,99.7837173463982,99.94277078284216,99.55917089858303,99.91470336914062,19845700,0.0,0.0,0.0
2024-07-03,100.2514924785264,100.65380859375,100.14857390452498,100.65380859375,14318900,0.0,0.0,0.0
2024-07-05,101.03742833527963,101.23390734136913,100.76609814452694,101.17777252197266,18800300,0.0,0.0,0.0
2024-07-08,101.25261298386697,101.33681520404457,101.02806659185896,101.16840362548828,18136600,0.0,0.0,0.0
2024-07-09,100.99999432071958,101.15905485941553,100.75673869815168,100.98128509521484,20384700,0.0,0.0,0.0
2024-07-10,101.10291338977711,101.24325756543791,100.95321817041987,101.22454833984375,17263200,0.0,0.0,0.0
2024-07-11,101.85142128332333,102.00111651793965,101.6830096830037,101.7672119140625,31411700,0.0,0.0,0.0
2024-07-12,101.8233421762153,102.14144897460938,101.72978177305241,102.14144897460938,20301300,0.0,0.0,0.0
2024-07-15,101.7952658283605,101.94496103263307,101.56136127189662,101.58007049560547,18291500,0.0,0.0,0.0
2024-07-16,101.82335091126455,102.18824151164328,101.7391415444531,102.16952514648438,20090700,0.0,0.0,0.0
